Neuron,Landmark,Landmark Position,Weight
SMDDL,MDL06,0.12,0.454545455
SMDDL,MDR05,0.15,0.454545455
SMDDL,MDL08,0.16,0.454545455
SMDDL,MDR07,0.21,0.454545455
SMDDL,MVL02,0.05,0.454545455
SMDDL,MVL04,0.08,0.454545455
SMDDR,MDR04,0.07,0.428571429
SMDDR,MDL04,0.07,0.428571429
SMDDR,MDR06,0.12,0.428571429
SMDDR,MDL06,0.12,0.428571429
SMDDR,MDL05,0.15,0.428571429
SMDDR,MDL08,0.16,0.428571429
SMDDR,MVR02,0.05,0.428571429
SMDVL,MVR02,0.05,0.5
SMDVL,MVR04,0.08,0.5
SMDVL,MVR03,0.1,0.5
SMDVL,MVL03,0.1,0.5
SMDVL,MVR06,0.12,0.5
SMDVL,MVL06,0.12,0.5
SMDVR,MVL02,0.05,1
SMDVR,MVL04,0.08,1
SMDVR,MVL03,0.1,1
SMDVR,MVR07,0.2,1
URADL,MDL02,0.05,2
URADL,MDL04,0.07,2
URADL,MDL03,0.1,2
URADR,MDR02,0.05,2.333333333
URADR,MDR01,0.06,2.333333333
URADR,MDR03,0.1,2.333333333
URAVL,MVL02,0.05,2.25
URAVL,MVL01,0.06,2.25
URAVL,MVL04,0.08,2.25
URAVL,MVL03,0.1,2.25
URAVR,MVR02,0.05,2
URAVR,MVR01,0.06,2
URAVR,MVR04,0.08,2
URAVR,MVR03,0.1,2
VA01,MVR08,0.17,2.75
VA01,MVL08,0.18,2.75
VA01,MVL07,0.2,2.75
VA01,MVR07,0.2,2.75
VA02,MVL07,0.2,4.75
VA02,MVR07,0.2,4.75
VA02,MVL10,0.22,4.75
VA02,MVR10,0.22,4.75
VA03,MVL10,0.22,4.833333333
VA03,MVR10,0.22,4.833333333
VA03,MVL09,0.27,4.833333333
VA03,MVR09,0.27,4.833333333
VA03,MVL12,0.29,4.833333333
VA03,MVR12,0.29,4.833333333
VA04,MVL12,0.29,6.25
VA04,MVR12,0.29,6.25
VA04,MVL11,0.35,6.25
VA04,MVR11,0.35,6.25
VA05,MVL11,0.35,4.75
VA05,MVR11,0.35,4.75
VA05,MVL14,0.39,4.75
VA05,MVR14,0.39,4.75
VA06,MVL14,0.39,5
VA06,MVR14,0.39,5
VA06,MVL13,0.44,5
VA06,MVR13,0.44,5
VA07,MVL13,0.44,3.857142857
VA07,MVR13,0.44,3.857142857
VA07,MVL16,0.48,3.857142857
VA07,MVR16,0.48,3.857142857
VA07,MVL15,0.54,3.857142857
VA07,MVR15,0.54,3.857142857
VA07,MVULVA,0.54,3.857142857
VA08,MVL16,0.48,5.75
VA08,MVR16,0.48,5.75
VA08,MVL15,0.54,5.75
VA08,MVR15,0.54,5.75
VA09,MVL15,0.54,4.675675676
VA09,MVR15,0.54,4.675675676
VA09,MVL18,0.6,4.675675676
VA09,MVR18,0.6,4.675675676
VA10,MVL17,0.64,4.675675676
VA10,MVR17,0.64,4.675675676
VA10,MVL18,0.6,4.675675676
VA10,MVR18,0.6,4.675675676
VA11,MVL19,0.73,4.675675676
VA11,MVR19,0.73,4.675675676
VA11,MVL20,0.67,4.675675676
VA11,MVR20,0.67,4.675675676
VA12,MVL21,0.77,4.675675676
VA12,MVR22,0.77,4.675675676
VA12,MVL22,0.81,4.675675676
VA12,MVR21,0.81,4.675675676
VB01,MVR08,0.17,1.25
VB01,MVL08,0.18,1.25
VB01,MVL07,0.2,1.25
VB01,MVR07,0.2,1.25
VB02,MVL07,0.2,3.25
VB02,MVR07,0.2,3.25
VB02,MVL10,0.22,3.25
VB02,MVR10,0.22,3.25
VB02,MVL09,0.27,3.25
VB02,MVR09,0.27,3.25
VB02,MVL12,0.29,3.25
VB02,MVR12,0.29,3.25
VB03,MVL12,0.29,5.833333333
VB03,MVR12,0.29,5.833333333
VB03,MVL11,0.35,5.833333333
VB03,MVR11,0.35,5.833333333
VB03,MVL14,0.39,5.833333333
VB03,MVR14,0.39,5.833333333
VB04,MVL11,0.35,5
VB04,MVR11,0.35,5
VB04,MVL14,0.39,5
VB04,MVR14,0.39,5
VB05,MVL14,0.39,5.5
VB05,MVR14,0.39,5.5
VB05,MVL13,0.44,5.5
VB05,MVR13,0.44,5.5
VB06,MVL16,0.48,5.6
VB06,MVR16,0.48,5.6
VB06,MVL15,0.54,5.6
VB06,MVR15,0.54,5.6
VB06,MVULVA,0.54,5.6
VB07,MVL15,0.54,4.682926829
VB07,MVR15,0.54,4.682926829
VB08,MVL18,0.6,5.333333333
VB08,MVR18,0.6,5.333333333
VB08,MVL17,0.64,5.333333333
VB08,MVR17,0.64,5.333333333
VB08,MVL20,0.67,5.333333333
VB08,MVR20,0.67,5.333333333
VB09,MVL17,0.64,6
VB09,MVR17,0.64,6
VB09,MVL20,0.67,6
VB09,MVR20,0.67,6
VB10,MVL20,0.67,4.682926829
VB10,MVR20,0.67,4.682926829
VB10,MVL19,0.73,4.682926829
VB10,MVR19,0.73,4.682926829
VB11,MVL21,0.77,4.682926829
VB11,MVR22,0.77,4.682926829
VB11,MVL22,0.81,4.682926829
VB11,MVR21,0.81,4.682926829
VC01,MVULVA,0.54,6
VC02,MVULVA,0.54,10
VC03,MVULVA,0.54,11
VC04,MVULVA,0.54,7
VC05,MVULVA,0.54,2
VC06,MVULVA,0.54,1
VD01,MVR05,0.14,3
VD01,MVL05,0.15,3
VD01,MVR08,0.17,3
VD01,MVL08,0.18,3
VD02,MVL07,0.2,5.5
VD02,MVR07,0.2,5.5
VD02,MVL10,0.22,5.5
VD02,MVR10,0.22,5.5
VD03,MVL09,0.27,5.75
VD03,MVR09,0.27,5.75
VD03,MVL12,0.29,5.75
VD03,MVR12,0.29,5.75
VD04,MVL12,0.29,6.25
VD04,MVR12,0.29,6.25
VD04,MVL11,0.35,6.25
VD04,MVR11,0.35,6.25
VD05,MVL14,0.39,13
VD05,MVR14,0.39,13
VD06,MVL14,0.39,4.5
VD06,MVR14,0.39,4.5
VD06,MVL13,0.44,4.5
VD06,MVR13,0.44,4.5
VD06,MVL16,0.48,4.5
VD06,MVR16,0.48,4.5
VD07,MVL16,0.48,4.8
VD07,MVR16,0.48,4.8
VD07,MVL15,0.54,4.8
VD07,MVR15,0.54,4.8
VD07,MVULVA,0.54,4.8
VD08,MVL15,0.54,12.5
VD08,MVR15,0.54,12.5
VD09,MVL18,0.6,7
VD09,MVR18,0.6,7
VD09,MVL17,0.64,7
VD09,MVR17,0.64,7
VD10,MVL17,0.64,5.5
VD10,MVR17,0.64,5.5
VD10,MVL20,0.67,5.5
VD10,MVR20,0.67,5.5
VD11,MVL20,0.67,5.744186047
VD11,MVR20,0.67,5.744186047
VD11,MVL19,0.73,5.744186047
VD11,MVR19,0.73,5.744186047
VD12,MVL19,0.73,3.25
VD12,MVR19,0.73,3.25
VD12,MVL21,0.77,3.25
VD12,MVR22,0.77,3.25
VD13,MVL21,0.77,5.744186047
VD13,MVR22,0.77,5.744186047
VD13,MVL22,0.81,5.744186047
VD13,MVR21,0.81,5.744186047
VD13,MVL23,0.84,5.744186047
VD13,MVR23,0.84,5.744186047
VD13,MVR24,0.89,5.744186047
VB11,MVL23,0.84,4.682926829
VB11,MVR23,0.84,4.682926829
VB11,MVR24,0.89,4.682926829
VA12,MVL23,0.84,4.675675676
VA12,MVR23,0.84,4.675675676
VA12,MVR24,0.89,4.675675676
DD06,MDL24,0.85,4.7
DD06,MDL23,0.89,4.7
DD06,MDR24,0.85,4.7
DD06,MDR23,0.89,4.7
DB07,MDL24,0.85,2.6
DB07,MDL23,0.89,2.6
DB07,MDR24,0.85,2.6
DB07,MDR23,0.89,2.6
DA09,MDL24,0.85,4
DA09,MDL23,0.89,4
DA09,MDR24,0.85,4
DA09,MDR23,0.89,4
AS11,MDL24,0.85,2.708333333
AS11,MDL23,0.89,2.708333333
AS11,MDR24,0.85,2.708333333
AS11,MDR23,0.89,2.708333333
